,News Media,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
0,BBCBreaking,Tue Sep 11 16:30:50 +0000 2018,1,0.658,0.154,0.846,0.0,"RT @bbctms: WICKET!
There it is! Anderson cleans up Shami, bowled for 0. England win the match and Jimmy Anderson takes his 564th Test wick…"
1,BBCBreaking,Tue Sep 11 09:21:43 +0000 2018,2,0.5267,0.152,0.848,0.0,"RT @BBCSport: Uefa plans to introduce a third European club competition alongside the Champions League and Europa League from 2021.

👉 http…"
2,BBCBreaking,Tue Sep 11 08:35:00 +0000 2018,3,-0.4404,0.0,0.828,0.172,"UK unemployment fell by 55,000 in the three months to July, ONS figures say https://t.co/XYEvJ6AbkM"
3,BBCBreaking,Mon Sep 10 14:09:41 +0000 2018,4,0.0,0.0,1.0,0.0,England's leading Test run scorer Alastair Cook dismissed for 147 in his last ever innings for his country… https://t.co/XCWX52LxXE
4,BBCBreaking,Mon Sep 10 11:45:36 +0000 2018,5,0.4374,0.107,0.893,0.0,"RT @bbctms: THERE IT IS!
What a moment for Alastair Cook on his last-ever Test innings he brings up his hundred! Not sure he'd have expecte…"
5,BBCBreaking,Sun Sep 09 18:09:57 +0000 2018,6,0.6249,0.282,0.718,0.0,"Sweden's far right makes gains in election as establishment parties deadlocked, exit polls predict https://t.co/GXIMNX2uTb"
6,BBCBreaking,Sun Sep 09 17:03:42 +0000 2018,7,-0.8555,0.0,0.58,0.42,"28-year-old woman charged with attempted murder after man stabbed on Saturday in Barnsley, South Yorkshire https://t.co/IQTo0Ap8cW"
7,BBCBreaking,Sat Sep 08 21:47:17 +0000 2018,8,0.8402,0.34,0.577,0.083,Naomi Osaka beats Serena Williams 6-2 6-4 to win US Open - the first Japanese player to win Grand Slam singles title https://t.co/y9hsSHkKZy
8,BBCBreaking,Sat Sep 08 17:02:27 +0000 2018,9,-0.9231,0.0,0.53,0.47,"Woman, 28, arrested after man stabbed in Barnsley, South Yorkshire is being held on suspicion of attempted murder https://t.co/iWCXSe2gLM"
9,BBCBreaking,Sat Sep 08 09:38:43 +0000 2018,10,-0.7184,0.0,0.76,0.24,"One person arrested after reports man had been stabbed in Barnsley town centre, as police investigate if it was an… https://t.co/oyYQpXLyph"
10,BBCBreaking,Sat Sep 08 09:10:30 +0000 2018,11,-0.0772,0.0,0.902,0.098,"Police responding to ""serious incident"" in Barnsley, South Yorkshire, the force says https://t.co/hIXI30hWJ9"
11,BBCBreaking,Fri Sep 07 21:28:58 +0000 2018,12,-0.6486,0.0,0.815,0.185,"US rapper Mac Miller found dead at his Los Angeles home aged 26 after apparent overdose, US media report https://t.co/ytKhUKCXkC"
12,BBCBreaking,Fri Sep 07 20:45:14 +0000 2018,13,-0.765,0.0,0.72,0.28,Former Donald Trump aide George Papadopoulos jailed for 14 days for lying to the FBI in Russia investigation https://t.co/SIBVvJz398
