,City,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Date
0,Peniche,PT,39.36,-9.38,84.9,24,20,10.29,2018-09-10 15:30:00
1,Busselton,AU,-33.64,115.35,55.84,100,0,19.8,2018-09-10 15:33:30
2,Alofi,NU,-19.06,-169.92,73.4,94,32,4.7,2018-09-10 15:00:00
3,Karatuzskoye,RU,53.61,92.87,43.33,90,12,2.46,2018-09-10 16:06:10
4,Thompson,CA,55.74,-97.86,39.2,93,90,12.75,2018-09-10 15:00:00
5,Ambon,FR,47.55,-2.56,71.6,60,20,10.29,2018-09-10 15:30:00
6,Brigantine,US,39.41,-74.36,69.76,93,90,10.29,2018-09-10 15:56:00
7,Gashua,NG,12.87,11.04,85.09,82,88,4.36,2018-09-10 16:06:11
8,Farmington,US,36.73,-108.21,61.27,35,1,9.17,2018-09-10 15:53:00
9,Sisimiut,GL,66.94,-53.67,38.11,78,32,2.57,2018-09-10 15:57:48
10,Carnarvon,ZA,-30.97,22.13,62.23,18,0,8.95,2018-09-10 15:56:33
11,Ushuaia,AR,-54.81,-68.31,50.81,40,0,20.8,2018-09-10 15:00:00
12,Punta Arenas,CL,-53.16,-70.91,46.6,75,75,11.41,2018-09-10 15:00:00
13,Mikkeli,FI,61.69,27.27,59.0,82,0,5.82,2018-09-10 15:50:00
14,Yellowknife,CA,62.45,-114.38,42.8,75,75,6.93,2018-09-10 15:00:00
15,Morondava,MG,-20.3,44.28,71.23,100,92,7.72,2018-09-10 16:06:14
16,Bredasdorp,ZA,-34.53,20.04,66.2,63,0,10.29,2018-09-10 15:00:00
17,Pevek,RU,69.7,170.27,50.08,83,0,8.61,2018-09-10 15:36:00
18,Poum,MK,41.28,20.71,75.2,44,20,4.7,2018-09-10 15:30:00
19,East London,ZA,-33.02,27.91,64.4,63,20,11.41,2018-09-10 15:00:00
20,Remontnoye,RU,46.56,43.66,75.2,19,92,17.9,2018-09-10 15:30:00
21,New Norfolk,AU,-42.78,147.06,48.2,81,20,9.17,2018-09-10 15:00:00
22,Saint-Denis,FR,48.94,2.36,76.55,36,0,6.93,2018-09-10 15:30:00
23,Atuona,PF,-9.8,-139.03,79.87,98,0,13.31,2018-09-10 15:35:32
24,Mataura,NZ,-46.19,168.86,33.97,93,48,6.26,2018-09-10 15:36:03
25,Salamiyah,SY,35.01,37.05,81.31,32,12,11.18,2018-09-10 16:06:16
26,Bluff,AU,-23.58,149.07,56.74,47,0,8.39,2018-09-10 15:35:31
27,Pundaguitan,PH,6.37,126.17,77.89,100,48,10.74,2018-09-10 16:03:55
28,Cajamarca,PE,-7.16,-78.52,64.4,45,20,6.93,2018-09-10 15:30:00
29,Puerto Ayora,EC,-0.74,-90.35,73.4,73,75,14.99,2018-09-10 15:00:00
30,Rikitea,PF,-23.12,-134.97,72.58,100,0,13.2,2018-09-10 15:35:23
31,Clyde River,CA,70.47,-68.59,39.2,60,75,6.93,2018-09-10 15:00:00
32,Tres Arroyos,AR,-38.38,-60.28,51.43,100,88,11.41,2018-09-10 16:06:18
33,Ola,RU,59.58,151.3,48.2,100,90,6.71,2018-09-10 15:00:00
34,Cabo San Lucas,MX,22.89,-109.91,79.65,78,5,11.41,2018-09-10 14:45:00
35,Lompoc,US,34.64,-120.46,53.49,96,75,5.14,2018-09-10 15:42:00
36,Qaanaaq,GL,77.48,-69.36,31.0,100,36,5.37,2018-09-10 16:03:06
37,Manaure,CO,11.78,-72.45,83.38,96,0,14.76,2018-09-10 16:06:19
38,Haines Junction,CA,60.75,-137.51,30.19,84,0,2.57,2018-09-10 16:02:45
39,Navlya,RU,52.83,34.5,68.0,56,0,8.95,2018-09-10 15:00:00
40,Goderich,CA,43.74,-81.71,58.54,100,92,20.47,2018-09-10 16:06:20
41,Butaritari,KI,3.07,172.79,85.18,100,20,17.45,2018-09-10 15:35:30
42,Paez,CO,2.93,-76.46,82.4,54,40,4.7,2018-09-10 15:00:00
43,Cape Town,ZA,-33.93,18.42,64.4,63,0,9.17,2018-09-10 15:00:00
44,Belaya Gora,RU,68.54,146.19,42.52,73,8,7.05,2018-09-10 16:06:21
45,Uvalde,US,29.21,-99.79,70.93,97,90,6.93,2018-09-10 15:55:00
46,Lebu,ET,8.96,38.73,66.2,59,75,9.17,2018-09-10 15:00:00
47,Saint-Augustin,FR,44.83,-0.61,76.59,51,0,10.29,2018-09-10 15:30:00
48,Airai,TL,-8.93,125.41,63.49,88,0,2.13,2018-09-10 16:04:31
49,Harer,US,42.19,-111.17,53.41,50,0,2.68,2018-09-10 16:06:22
50,Port Elizabeth,US,39.31,-74.98,69.28,96,90,20.8,2018-09-10 15:22:00
51,Tazmalt,DZ,36.39,4.4,82.4,83,75,6.93,2018-09-10 15:00:00
52,Tiksi,RU,71.64,128.87,34.69,100,92,21.14,2018-09-10 15:39:24
53,Georgetown,GY,6.8,-58.16,87.8,66,75,4.7,2018-09-10 15:00:00
54,Ust-Charyshskaya Pristan,RU,52.39,83.67,57.1,94,92,14.2,2018-09-10 16:06:24
55,Nome,US,30.04,-94.42,81.23,81,40,4.7,2018-09-10 15:15:00
56,Sidi Ali,DZ,36.1,0.42,85.36,54,80,6.6,2018-09-10 16:06:24
57,Yerofey Pavlovich,RU,53.97,121.97,36.67,88,32,2.35,2018-09-10 16:03:51
58,Tuktoyaktuk,CA,69.44,-133.03,33.8,80,90,13.87,2018-09-10 15:00:00
59,Salinas,US,36.67,-121.66,54.88,100,90,3.24,2018-09-10 15:35:00
60,Arlit,NE,18.74,7.39,98.68,35,0,4.92,2018-09-10 16:03:50
61,Eureka,US,40.8,-124.16,50.77,100,90,4.7,2018-09-10 15:35:00
62,Vila Franca do Campo,PT,37.72,-25.43,78.8,78,20,10.29,2018-09-10 15:30:00
63,Tasiilaq,GL,65.61,-37.64,41.0,80,90,3.36,2018-09-10 14:50:00
64,Lumphat,KH,13.5,106.97,75.73,96,44,1.68,2018-09-10 16:06:26
65,Whitehorse,CA,60.72,-135.06,39.2,80,40,2.24,2018-09-10 15:00:00
66,Novyy Urengoy,RU,66.08,76.63,34.51,82,48,15.99,2018-09-10 16:06:27
67,Laguna,MX,27.52,-110.01,82.4,78,20,3.36,2018-09-10 14:40:00
68,Chuy,UY,-33.69,-53.46,61.42,89,88,12.64,2018-09-10 15:52:19
69,Cayenne,GF,4.94,-52.33,89.6,62,8,2.24,2018-09-10 15:30:00
70,Gouloure,BF,12.23,-1.93,87.8,62,40,6.93,2018-09-10 15:00:00
71,Saint-Martin-Boulogne,FR,50.72,1.65,66.2,77,75,12.75,2018-09-10 15:50:00
72,Warmbad,DE,50.67,13.08,75.78,38,0,5.82,2018-09-10 15:50:00
73,Lasa,CY,34.92,32.53,83.55,65,20,12.75,2018-09-10 15:30:00
74,Dikson,RU,73.51,80.55,34.78,100,64,3.58,2018-09-10 15:35:25
75,Coquimbo,CL,-29.95,-71.34,50.0,100,90,6.93,2018-09-10 15:00:00
76,Saldanha,PT,41.42,-6.55,83.56,32,0,5.14,2018-09-10 15:50:56
77,Albany,US,42.65,-73.75,56.03,74,90,5.14,2018-09-10 14:54:00
78,Mount Gambier,AU,-37.83,140.78,56.83,75,0,7.72,2018-09-10 16:04:53
79,Storforshei,NO,66.4,14.52,64.4,55,75,13.87,2018-09-10 15:50:00
80,Gazanjyk,TM,39.24,55.52,85.36,20,0,10.07,2018-09-10 16:06:31
81,Wakkanai,JP,45.41,141.67,58.18,100,0,9.62,2018-09-10 16:06:32
82,Longyearbyen,NO,78.22,15.63,39.2,86,75,4.7,2018-09-10 14:50:00
83,Kodiak,US,39.95,-94.76,66.92,84,1,4.59,2018-09-10 14:53:00
84,Mogzon,RU,51.74,111.97,49.09,87,92,2.57,2018-09-10 16:06:33
85,Virginia Beach,US,36.85,-75.98,82.02,78,40,4.25,2018-09-10 15:54:00
86,Hobart,AU,-42.88,147.33,48.2,81,20,9.17,2018-09-10 15:00:00
87,Mar del Plata,AR,-46.43,-67.52,58.18,44,92,12.41,2018-09-10 15:36:13
88,Cabra,ES,37.47,-4.43,88.59,27,20,6.93,2018-09-10 15:30:00
89,Namibe,AO,-15.19,12.15,65.47,100,0,8.95,2018-09-10 16:04:49
90,Jamestown,AU,-33.21,138.6,50.44,42,0,9.84,2018-09-10 15:34:22
91,Ponta do Sol,BR,-20.63,-46.0,81.58,39,0,7.61,2018-09-10 16:03:11
92,Kimbe,PG,-5.56,150.15,77.71,100,20,7.16,2018-09-10 16:06:35
93,Nchelenge,ZM,-9.35,28.74,80.41,56,0,3.47,2018-09-10 16:06:35
94,Luwuk,ID,-0.95,122.79,76.36,89,12,7.72,2018-09-10 16:06:36
95,Ixtapa,MX,20.71,-105.21,78.8,94,75,3.36,2018-09-10 14:47:00
96,Ketchikan,US,55.34,-131.65,52.34,89,90,16.11,2018-09-10 14:56:00
97,Nizwa,OM,22.93,57.53,92.11,24,0,6.15,2018-09-10 16:03:49
98,Alto Longa,BR,-5.25,-42.21,97.78,29,0,7.72,2018-09-10 16:03:51
99,Kapaa,US,22.08,-159.32,73.44,93,75,5.37,2018-09-10 15:07:00
100,Norman Wells,CA,65.28,-126.83,41.0,86,90,9.17,2018-09-10 15:32:00
101,Bezenchuk,RU,52.99,49.43,71.59,35,24,7.72,2018-09-10 16:06:37
102,Baruun-Urt,MN,46.68,113.28,62.41,49,76,17.0,2018-09-10 16:06:38
103,Secunda,ZA,-26.52,29.2,65.38,13,0,6.6,2018-09-10 16:06:38
104,Khatanga,RU,71.98,102.47,39.91,86,88,9.62,2018-09-10 15:50:57
105,Sinnamary,GF,5.38,-52.96,84.73,89,12,5.03,2018-09-10 16:06:39
106,Warrnambool,AU,-38.38,142.48,56.74,90,0,13.76,2018-09-10 16:06:39
107,Turzovka,SK,49.41,18.63,74.35,43,75,1.12,2018-09-10 15:30:00
